GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
task-manager,default,Task,3,25,0,0,1,10,1,4,1,4
task-manager,default,TaskManager,2,53,2,2,0,10,2,8,0,8
